product_id,product_title,rating,total_reviews,price,top_reviews
B013SK1JTY,ARAREE Slim Diary Cell Phone Case for Samsung Galaxy Note 5 - Retail Packaging - Coral Pink,3.8,5,,No detailed reviews available.
B07ZPSG8P5,"Bastmei for OnePlus 7T Case Extremely Light Ultra Thin, Super Slim Hard PC Cover Case for OnePlus 7T (Gravel Green)",4.4,177,11.98,No detailed reviews available.
B00GKR3L12,Wireless Fones Branded New Iphone 5C/LITE Hot Pink Lace detail Leather Wallet Folio Case,4.0,2,,No detailed reviews available.
B00PB8U8BW,"iPhone 6 Plus + Case, DandyCase Perfect PATTERNNo Chip/No Peel Flexible Slim TPU Case Cover for Apple iPhone 6 Plus (5.5"" Screen) [Vintage Pink Rose Floral]",4.0,15,,No detailed reviews available.
B07D3RHSRV,"Case for Galaxy S6/S6 Edge, Thin Translucent View Mirror Flip Electroplate Stand Case (Black, Galaxy S6)",4.0,1,,No detailed reviews available.
B00JIFK1HA,Rikki Knight 3D Chevron Peach on White with Anchor Flip Wallet iPhoneCase with Magnetic Flap for Apple iPhone 5c,1.0,1,22.42,No detailed reviews available.
B0BHY2CR5B,"iMangoo Galaxy S22 Case, for Samsung Galaxy S22 Cases Wallet Case Men Women Protective ID Credit Card Slot Holder Cash Pocket PU Leather Sleeve Double Magnetic Closure Clasp Galaxy S22 Flip Case Blue",4.5,530,11.99,No detailed reviews available.
B0071OC36W,Piel Frama Wallet Case for Samsung Galaxy Nexus - Blue,5.0,1,,No detailed reviews available.
B00LO02H56,Pearl Bowknot 3d Cute Crystal Bling rhinestone pink Pearl Bowknot Bow Girl Cute lovely Handbag Leather Wallet Card Strap Case Cover For LG Optimus L70 Exceed 2 D325 MS323,3.8,3,,No detailed reviews available.
B07W5Z9VHY,Omio for Galaxy Note 10 Plus Privacy Screen Protector Tempered Glass Black Screen Protectors 9H Hardness Anti-Scratch Anti-Spy Anti-Fingerprint Bubble-Free Full Coverage Film for Galaxy Note 10 Plus,3.0,5,,No detailed reviews available.
B08GK7J9XN,"ZHK Compatible with iPhone 12 Pro Max Case for Women, Marble 3 Layer Heavy Duty Shockproof Cute Girls Anti-Scratch Protective Case Cover for iPhone 12 Pro Max (6.7 inch, 2020) –Rose Gold",4.3,205,,No detailed reviews available.
B00JI55D2I,"BCSLINE Outdoor Exercise Jogging Armband Case, Premium Running Sports Gym Workout Case/Cover For Motorola DROID ULTRA,Color:Blue, Cleaning Cloth Free Gift.",3.2,5,,No detailed reviews available.
B06XW2NJH2,"iPhone 6S Plus Case,iPhone 6 Plus Case,KAKA[Heavy Duty]Three Layers Rugged Armor Shockproof Soft Silicone Anti-Scratch Hard PC Hybrid Protective Case for iPhone 6 Plus/6s Plus,Flower 2 Black",4.0,11,,No detailed reviews available.
B0B8ZBCCY6,"WSKEN for Samsung Galaxy Z Fold 4 Camera Lens Protector Case Cover, Anti Scratch HD Tempered Metal Glass Camera Screen Protector Shockproof Film for Galaxy Z Fold 4 5G 2022 Accessories,Gold",4.5,354,11.99,No detailed reviews available.
B07NWTB6P1,MMOBIEL Earspeaker Light Sensor Flex Cable Incl Mic Compatible with iPhone Xs Max 6.5 inch incl. Screwdrivers,4.2,380,11.99,No detailed reviews available.
B00SX5JWSK,CP 2-In-1 Hard Hybrid Silicone Case with Diamond Stud for Huawei Tribute/Y536A1 - Non-Retail Packaging - Red/Black,5.0,1,,No detailed reviews available.
B08C82CVM2,Peace Love Sunshine Sunflower PopSockets PopGrip: Swappable Grip for Phones & Tablets,4.5,41,14.99,No detailed reviews available.
B07YTYFBCT,"[2 Pack] Camera Screen Protector for iPhone 11 Pro / 11 Pro Max 5.8/6.5 Inch (2019), 0.3MM Thin Organic Tempered Glass Camera Lens Protector for iPhone 11 Pro Max (Gold)",3.7,807,,No detailed reviews available.
B01MTQ79AT,"Moto E (2nd Gen) Case, khytech [Cash Slots] [Photo booth] Smooth Scrub Leather Back Magnetic Wallet Case Cover for Motorola Moto E (2nd Generation) [Green]",4.0,1,,No detailed reviews available.
B00OZF3MBA,Natural real italian Leather Case for Apple Iphone 6 Book Wallet Cover Handmade!,4.6,6,,No detailed reviews available.
B075363DS2,Caseology Apex for Apple iPhone 8 Case (2017) / for iPhone 7 Case (2016) - Burgundy,4.5,390,,5.0⭐ Great case. Great deal for a quality buy. This is my second caseology purchase and again was not disappointed....
B07KCDF1T7,"Arrkn Car Phone Mount, Both Modes (Air Vent/CD Slot) One-Touch Design Universal Car Holder for Google Nexus, iPhone Xs/Xr/8Plus/7/6s//5S, Galaxy S5/S6/S7/S8, Huawei and More",3.6,9,,No detailed reviews available.
B08F4FXWQ8,"Ubrokeifixit Compatible Rear Panel Back Housing Door Cover Replacement with NFC Chip for LG G Stylo LS770 H634 MS631/G4 Stylus H631 H635 H540 5.7""(NOT for LG G4) (Frosted-Gray)",4.3,39,,No detailed reviews available.
B00MUQJORC,"ULAK iPhone 6S Case, Luxury Chrome Aluminum Coating Hard Cover with PC Bumper for Apple iPhone 6 & 6S 4.7 inch (Silver)",4.3,199,,3.0⭐ Not much protection....
B09QC96CDF,"Areziir Gapless Elegant Bands Compatible with Samsung Galaxy Watch 4/Watch 5 Band 40mm 44mm/Galaxy Watch 4 Classic 42mm 46mm/Galaxy Watch 5 Pro 45mm,Flower Silicone Pattern Replacement Strap Women Men",4.5,196,9.99,No detailed reviews available.
B014V1ST4M,NAKEDCELLPHONE'S Black Ribbed Rubberized Hard Shell CASE Cover + Belt Clip Holster Stand for VERIZON HTC Desire 526 526G+,5.0,1,,No detailed reviews available.
B0BBRQW3VS,"Sport Band Compatible with Apple Watch Bands 38mm 40mm 41mm 42mm 44mm 45mm for Women Men,Floral Silicone Printed Fadeless Pattern Strap Band for iWatch Series 3, Series 5,Series 6,Series 4,Series 7",4.6,26241,7.98,5.0⭐ Cute watch band.  I love the tie dye for Spring!... || 5.0⭐ Granddaughter loved it and it looks like it’s going to be very strong as far as not coming unlatched... || 5.0⭐ Love the design and so soft and design is so cute and love the colors! My favorite band!... || 5.0⭐ I’ve been looking for a new Apple watch band for my 7 for awhile. This band did not disappoint. The colors are vibrant. It fit perfectly and was easy to attach. Seems really durable.... || 5.0⭐ Love this watch band. It is the perfect size. I have bigger wrists so it is nice to have some xtra room. This fits the bill!! And it’s beautiful...
B0B6ZJLCLP,"NINKI Sparkling Band Compatible Samsung Galaxy Watch 5/4 40mm 44mm/Classic 42mm 46mm/Active 2 Watch Bands Resin,（Sliver+Black Pink）20mm Stainless Steel Bracelet Band for Galaxy Watch 3 41mm/Watch 42mm",4.3,48,19.98,No detailed reviews available.
B0823TGXDW,"Screen Protector Compatible with Samsung Galaxy Watch Active 2 Case 40mm, 3 Packs NAHAI Slim Plated Scractch-Resist Cover All Around Bumper for Samsung Galaxy Watch Active 2, Clear,Black,Silver",4.3,52,,No detailed reviews available.
